Date,RAT,MAT,OAT,SFS
2019-05-24 22:55:00,,,45.01,
2019-05-24 23:00:00,,,44.94,
2019-05-24 23:00:00,,67.54,,
2019-05-24 23:00:00,65.55,,,
2019-05-24 23:05:00,,,44.87,
2019-05-24 23:10:00,,,44.89,
2019-05-24 23:15:00,,,44.94,
2019-05-24 23:15:00,,67.36,,
2019-05-24 23:15:00,65.2,,,
2019-05-24 23:20:00,,,44.96,
2019-05-24 23:25:00,,,45.04,
2019-05-24 23:30:00,,,45.19,
2019-05-24 23:30:00,,67.19,,
2019-05-24 23:30:00,65.02,,,
2019-05-24 23:35:00,,,45.33,
2019-05-24 23:40:00,,,45.36,
2019-05-24 23:45:00,,,45.51,
2019-05-24 23:45:00,,67.01,,
2019-05-24 23:45:00,64.71,,,
2019-05-24 23:50:00,,,45.72,
2019-05-24 23:55:00,,,45.76,
2019-05-25 00:00:00,,,45.79,
2019-05-25 00:00:00,,66.8,,
2019-05-25 00:00:00,64.71,,,
2019-05-25 00:05:00,,,45.89,
2019-05-25 00:10:00,,,45.95,
2019-05-25 00:15:00,,,45.9,
2019-05-25 00:15:00,,66.44,,
2019-05-25 00:15:00,62.22,,,
2019-05-25 00:20:00,,,45.95,
2019-05-25 00:25:00,,,45.92,
2019-05-25 00:30:00,,,45.9,
2019-05-25 00:30:00,,66.26,,
2019-05-25 00:30:00,61.5,,,
2019-05-25 00:35:00,,,45.76,
2019-05-25 00:40:00,,,45.65,
2019-05-25 00:45:00,,,45.45,
2019-05-25 00:45:00,,66.26,,
2019-05-25 00:45:00,61.75,,,
2019-05-25 00:50:00,,,45.35,
2019-05-25 00:55:00,,,45.1,
2019-05-25 01:00:00,,,44.96,
2019-05-25 01:00:00,,66.5,,
2019-05-25 01:00:00,62.3,,,
2019-05-25 01:05:00,,,44.89,
2019-05-25 01:10:00,,,44.76,
2019-05-25 01:15:00,,,44.57,
2019-05-25 01:15:00,,66.5,,
2019-05-25 01:15:00,62.9,,,
2019-05-25 01:20:00,,,44.51,
2019-05-25 01:25:00,,,44.59,
2019-05-25 01:30:00,,,44.78,
2019-05-25 01:30:00,,66.44,,
2019-05-25 01:30:00,62.58,,,
2019-05-25 01:35:00,,,44.88,
2019-05-25 01:40:00,,,44.99,
2019-05-25 01:45:00,,,45.19,
2019-05-25 01:45:00,,66.42,,
2019-05-25 01:45:00,62.0,,,
2019-05-25 01:50:00,,,45.28,
2019-05-25 01:55:00,,,45.38,
2019-05-25 02:00:00,,,45.53,
2019-05-25 02:00:00,,66.24,,
2019-05-25 02:00:00,61.67,,,
2019-05-25 02:05:00,,,45.72,
