Date,OAT,RAT,MAT
9/22/2017 1:30,72.88756,72.85634,72.41993
9/22/2017 1:40,72.55508,72.85634,72.41993
9/22/2017 1:50,72.25301,72.85634,72.41993
9/22/2017 2:00,71.92667,72.85634,72.41993
9/22/2017 2:10,71.61993,72.85634,72.11966
9/22/2017 2:20,71.01211,72.85634,72.11966
9/22/2017 2:30,71.01211,72.85634,72.11966
9/22/2017 2:40,70.69517,72.85634,72.11966
9/22/2017 2:50,70.39255,72.85634,72.11966
9/22/2017 3:00,70.39255,72.85634,71.81987
9/22/2017 3:10,70.39255,72.85634,71.81987
9/22/2017 3:20,70.39255,72.85634,70.90721
9/22/2017 3:30,70.09025,72.85634,70.90714
9/22/2017 3:40,69.77925,72.85634,71.20717
9/22/2017 3:50,69.47253,72.85634,71.82934
9/22/2017 4:00,69.47253,72.85634,70.62245
9/22/2017 4:10,69.17054,72.85634,70.01608
9/22/2017 4:20,68.86279,72.85634,69.71684
9/22/2017 4:30,68.86279,72.85634,70.91603
9/22/2017 4:40,68.56361,72.85634,71.51772
9/22/2017 4:50,68.56361,72.85634,71.81303
9/22/2017 5:00,69.19573,72.85634,72.40984
9/22/2017 5:10,69.52695,72.85634,71.50723
9/22/2017 5:20,69.20557,72.85634,71.50723
9/22/2017 5:30,68.8878,72.85634,71.20752
9/22/2017 5:40,69.53914,72.85634,72.1104
9/22/2017 5:50,70.53111,72.85634,72.1104
9/22/2017 6:00,70.53111,72.85634,71.80985
9/22/2017 6:10,70.22418,72.85634,71.80985
9/22/2017 6:20,69.91279,72.85634,71.50977
9/22/2017 6:30,69.58279,72.85634,71.50977
9/22/2017 6:40,69.58279,72.85634,71.80689
9/22/2017 6:50,68.88831,72.85634,70.89867
9/22/2017 7:00,68.27266,72.85634,71.20485
9/22/2017 7:10,68.61189,72.85634,71.50199
9/22/2017 7:20,68.95722,72.85634,71.50199
9/22/2017 7:30,68.95722,72.85634,71.80328
9/22/2017 7:40,69.58222,72.55751,72.10391
9/22/2017 7:50,70.86264,72.55751,72.40132
9/22/2017 8:00,72.16847,72.25999,72.99695
9/22/2017 8:10,73.12043,72.25999,73.29562
9/22/2017 8:20,74.10757,72.25999,74.19421
9/22/2017 8:30,74.70767,72.25999,74.79484
9/22/2017 8:40,75.37345,72.25999,75.09326
9/22/2017 8:50,76.31821,72.25999,75.69556
9/22/2017 9:00,76.64037,72.55952,76.29691
9/22/2017 9:10,77.27605,72.55952,76.29691
9/22/2017 9:20,77.59557,72.55952,77.20114
9/22/2017 9:30,78.58282,72.55952,77.50108
9/22/2017 9:40,79.53204,72.55952,78.09785
9/22/2017 9:50,80.17925,72.55952,78.69682
9/22/2017 10:00,80.81715,72.55952,78.69682
9/22/2017 10:10,81.5153,72.55952,78.99469
9/22/2017 10:20,82.13403,72.55952,79.59313
9/22/2017 10:30,82.7773,72.55952,79.89391
9/22/2017 10:40,83.41281,72.55952,80.50069
9/22/2017 10:50,84.02374,72.55952,80.50069
9/22/2017 11:00,84.63122,72.55952,80.51699
9/22/2017 11:10,84.99847,72.55952,81.12473
9/22/2017 11:20,85.65199,72.55952,81.72114
9/22/2017 11:30,86.68657,72.87421,82.11368
9/22/2017 11:40,86.98496,73.54965,82.1161
9/22/2017 11:50,87.29275,73.2279,82.1161
9/22/2017 12:00,87.60939,73.2279,82.41807
9/22/2017 12:10,87.92118,72.93008,82.41807
9/22/2017 12:20,89.05036,72.93008,83.0268
9/22/2017 12:30,89.34997,72.93008,83.32744
9/22/2017 12:40,89.00691,72.93008,83.0274
9/22/2017 12:50,89.00691,72.93008,83.32786
9/22/2017 13:00,89.30406,72.93008,83.62521
9/22/2017 13:10,89.60732,72.93008,83.93259
9/22/2017 13:20,90.59467,72.93008,84.22987
9/22/2017 13:30,90.59467,72.93008,84.22987
9/22/2017 13:40,90.59467,72.93008,84.52924
9/22/2017 13:50,90.94509,72.93008,84.82771
9/22/2017 14:00,91.29041,72.93008,84.82771
9/22/2017 14:10,90.96359,72.93008,84.82771
9/22/2017 14:20,90.96359,72.93008,84.82771
9/22/2017 14:30,91.24485,72.93008,85.13708
9/22/2017 14:40,91.59267,72.93008,84.83876
9/22/2017 14:50,91.59267,72.93008,84.8363
9/22/2017 15:00,91.29507,72.93008,85.13375
9/22/2017 15:10,91.29507,72.93008,85.13375
9/22/2017 15:20,91.3419,72.93008,85.13375
9/22/2017 15:30,91.3419,72.93008,84.8355
9/22/2017 15:40,91.3419,72.93008,85.44333
9/22/2017 15:50,91.69164,72.93008,85.45246
9/22/2017 16:00,91.3867,72.93008,85.45246
9/22/2017 16:10,91.06001,72.93008,85.15238
9/22/2017 16:20,91.06001,72.93008,85.15211
9/22/2017 16:30,91.06001,72.93008,85.45357
9/22/2017 16:40,91.06001,72.93008,85.15248
9/22/2017 16:50,90.75556,72.93008,85.45083
9/22/2017 17:00,90.43454,72.93008,85.15108
9/22/2017 17:10,90.13162,72.93008,85.15108
9/22/2017 17:20,89.83369,72.93008,85.15108
9/22/2017 17:30,89.53114,72.93008,84.8483
9/22/2017 17:40,89.21699,72.93008,84.54797
9/22/2017 17:50,88.89076,72.93008,84.248
9/22/2017 18:00,88.26892,72.93008,83.94914
9/22/2017 18:10,87.31283,72.93008,83.35097
9/22/2017 18:20,86.70117,72.93008,83.05019
9/22/2017 18:30,85.78874,72.93008,82.1563
9/22/2017 18:40,84.5148,72.93008,81.25818
9/22/2017 18:50,83.53407,72.93008,80.66146
9/22/2017 19:00,82.92414,72.93008,80.36127
9/22/2017 19:10,82.62092,72.93008,79.7631
9/22/2017 19:20,81.97566,72.93008,79.16374
9/22/2017 19:30,81.65656,72.93008,79.16374
9/22/2017 19:40,81.02663,72.93008,78.8635
9/22/2017 19:50,80.31748,72.93008,78.26376
9/22/2017 20:00,80.01469,72.93008,77.36161
9/22/2017 20:10,79.69485,72.93008,76.46428
9/22/2017 20:20,79.37382,72.93008,76.76323
9/22/2017 20:30,78.76413,72.93008,76.46556
9/22/2017 20:40,78.465,72.93008,76.77131
9/22/2017 20:50,78.465,72.93008,77.07016
9/22/2017 21:00,78.16496,72.93008,76.77238
9/22/2017 21:10,77.20061,72.93008,76.1742
9/22/2017 21:20,76.54474,72.93008,76.1742
9/22/2017 21:30,77.18936,72.93008,76.47554
9/22/2017 21:40,77.5117,72.93008,76.47554
9/22/2017 21:50,77.5117,72.93008,76.47554
9/22/2017 22:00,77.5117,72.93008,76.17519
9/22/2017 22:10,77.21309,72.93008,75.87576
9/22/2017 22:20,76.90267,72.93008,75.27888
9/22/2017 22:30,75.24747,72.93008,74.67797
